value	date	time
5365	2021-11-20	17:45
5370	2021-11-21	13:01
5377	2021-11-22	8:24
5386	2021-11-23	8:26
5391	2021-11-24	8:36
5396	2021-11-25	8:32
5401	2021-11-26	8:43
5425	2021-11-29	8:14
5433	2021-11-30	9:05
5439	2021-12-01	9:44
5473	2021-12-06	8:00
5478	2021-12-07	8:20
5486	2021-12-08	8:22
5492	2021-12-09	10:22
5501	2021-12-10	8:37
5515	2021-12-13	8:25
5519	2021-12-14	10:06
5522	2021-12-15	8:45
5527	2021-12-16	8:41
5539	2021-12-20	8:17
5558	2021-12-23	8:38
5563	2021-12-24	9:44
5569	2021-12-25	8:39
5580	2021-12-27	8:34
5585	2021-12-28	9:21
5595	2021-12-30	11:25
5639	2022-01-11	9:16
5644	2022-01-12	9:11
5651	2022-01-14	8:30
5655	2022-01-15	7:58
5661	2022-01-17	10:50
5664	2022-01-18	8:41
5666	2022-01-19	9:45
5671	2022-01-20	8:40
5677	2022-01-22	13:50
5683	2022-01-24	10:45
5688	2022-01-26	10:36
5711	2022-02-03	12:30
5714	2022-02-04	12:05
5719	2022-02-05	15:03
5723	2022-02-06	11:31
5742	2022-02-14	9:05
5745	2022-02-15	17:28
5753	2022-02-18	17:37
5755	2022-02-19	14:48
5764	2022-02-22	7:41
5776	2022-02-26	8:38
5797	2022-03-05	11:07
5893	2022-04-05	8:14
5896	2022-04-06	8:22
5902	2022-04-08	10:36
5911	2022-04-11	8:30
5914	2022-04-12	8:21
5917	2022-04-13	8:33
5919	2022-04-14	8:55
5923	2022-04-15	8:39
5932	2022-04-18	8:15
5938	2022-04-20	8:39
5942	2022-04-21	8:51
5953	2022-04-25	8:32
5956	2022-04-26	8:37
5965	2022-04-29	9:11
5984	2022-05-05	8:26
