value	date	time
48.85	2021-11-20	10:07
48.894	2021-11-21	17:43
48.969	2021-11-22	23:34
48.994	2021-11-23	18:29
49.125	2021-11-24	18:28
49.186	2021-11-25	20:25
49.247	2021-11-27	21:39
49.302	2021-11-28	21:07
49.319	2021-11-29	18:48
49.497	2021-12-01	18:39
49.547	2021-12-02	20:10
49.582	2021-12-03	22:51
49.731	2021-12-05	17:22
49.959	2021-12-06	19:02
50.026	2021-12-07	19:35
50.068	2021-12-08	20:11
50.167	2021-12-09	21:27
50.183	2021-12-10	22:46
50.504	2021-12-11	19:51
50.585	2021-12-12	20:02
50.625	2021-12-13	18:52
50.654	2021-12-14	17:43
50.696	2021-12-15	17:52
50.741	2021-12-16	17:25
50.783	2021-12-17	18:49
50.898	2021-12-18	17:58
50.953	2021-12-19	18:02
51.129	2021-12-20	17:08
51.161	2021-12-21	17:43
51.19	2021-12-22	20:20
51.236	2021-12-23	19:40
51.28	2021-12-24	18:36
51.321	2021-12-25	20:23
51.488	2021-12-26	21:06
51.616	2021-12-27	19:13
51.653	2021-12-28	20:47
51.688	2021-12-29	19:18
51.753	2021-12-30	20:10
51.959	2021-12-31	22:27
52.335	2022-01-02	19:38
52.481	2022-01-03	22:16
52.616	2022-01-04	17:58
52.809	2022-01-05	16:44
52.986	2022-01-06	17:26
53.118	2022-01-07	23:30
53.244	2022-01-08	19:16
53.313	2022-01-09	18:50
53.438	2022-01-10	20:44
53.682	2022-01-11	20:33
53.718	2022-01-12	23:57
53.738	2022-01-13	22:31
53.76	2022-01-14	21:15
53.776	2022-01-15	21:50
53.916	2022-01-16	23:16
54.041	2022-01-17	18:04
54.063	2022-01-18	22:06
54.078	2022-01-19	21:52
54.085	2022-01-20	22:07
54.108	2022-01-21	22:10
54.167	2022-01-23	0:12
54.299	2022-01-24	10:04
54.339	2022-01-25	8:26
54.389	2022-01-26	9:37
54.585	2022-01-27	11:14
55.136	2022-01-30	15:26
55.193	2022-01-31	15:32
55.434	2022-02-01	19:14
55.534	2022-02-02	20:08
55.691	2022-02-03	23:03
55.715	2022-02-04	22:56
55.771	2022-02-05	14:34
55.912	2022-02-06	23:19
56.013	2022-02-07	22:59
56.07	2022-02-08	18:24
56.246	2022-02-10	8:42
56.291	2022-02-11	8:43
56.339	2022-02-12	18:01
56.399	2022-02-13	13:00
56.874	2022-02-14	8:35
56.941	2022-02-15	7:54
56.993	2022-02-16	10:13
57.004	2022-02-17	7:50
57.037	2022-02-18	7:50
57.085	2022-02-19	14:23
57.161	2022-02-20	11:22
57.466	2022-02-21	7:52
57.475	2022-02-22	7:16
57.553	2022-02-23	14:05
57.652	2022-02-24	8:33
57.668	2022-02-25	7:42
57.694	2022-02-26	8:12
57.876	2022-02-27	8:59
58.138	2022-02-28	10:45
58.15	2022-03-01	8:25
58.249	2022-03-02	8:29
58.286	2022-03-03	8:24
58.306	2022-03-04	8:24
58.334	2022-03-05	10:44
58.427	2022-03-06	
58.556	2022-03-07	22:15
58.726	2022-03-09	8:14
58.793	2022-03-10	8:21
58.896	2022-03-12	8:26
58.94	2022-03-13	12:19
59.259	2022-03-14	8:34
59.442	2022-03-19	10:26
59.482	2022-03-20	10:40
59.751	2022-03-21	8:37
59.775	2022-03-22	8:16
59.829	2022-03-23	8:04
59.863	2022-03-24	8:04
59.895	2022-03-25	8:35
60.025	2022-03-27	12:43
60.189	2022-03-28	8:07
60.942	2022-04-04	18:40
60.96	2022-04-05	7:18
60.997	2022-04-06	7:37
61.048	2022-04-07	7:27
61.083	2022-04-08	9:54
61.221	2022-04-09	10:19
61.309	2022-04-10	10:45
61.586	2022-04-11	6:35
61.654	2022-04-12	7:40
61.677	2022-04-13	7:19
61.9	2022-04-14	7:30
61.919	2022-04-15	7:49
61.98	2022-04-16	11:44
62.14	2022-04-17	12:56
62.431	2022-04-18	7:00
62.464	2022-04-19	7:22
62.883	2022-04-20	7:42
62.914	2022-04-21	7:41
62.928	2022-04-22	7:20
63.581	2022-04-25	7:42
63.599	2022-04-26	8:00
63.676	2022-04-27	8:02
63.726	2022-04-28	8:21
63.753	2022-04-29	8:44
63.768	2022-04-30	12:06
63.853	2022-05-01	17:01
64.069	2022-05-02	13:43
64.091	2022-05-03	11:43
64.351	2022-05-04	8:18
64.378	2022-05-05	7:18
64.408	2022-05-06	8:23
64.574	2022-05-08	13:52
