value	date	time
14303	2021-11-20	17:45
14309	2021-11-21	13:01
14315	2021-11-22	8:24
14321	2021-11-23	8:26
14332	2021-11-24	8:36
14340	2021-11-25	8:32
14348	2021-11-26	8:43
14377	2021-11-29	8:14
14386	2021-11-30	9:05
14395	2021-12-01	9:44
14436	2021-12-06	8:00
14445	2021-12-07	8:20
14457	2021-12-08	8:22
14470	2021-12-09	10:22
14479	2021-12-10	8:37
14503	2021-12-13	8:25
14513	2021-12-14	10:06
14519	2021-12-15	8:45
14526	2021-12-16	8:41
14552	2021-12-20	8:17
14578	2021-12-23	8:38
14587	2021-12-24	9:44
14596	2021-12-25	8:39
14615	2021-12-27	8:34
14625	2021-12-28	9:21
14642	2021-12-30	11:25
14735	2022-01-11	9:16
14744	2022-01-12	9:11
14762	2022-01-14	8:30
14772	2022-01-15	7:58
14789	2022-01-17	10:50
14793	2022-01-18	8:41
14800	2022-01-19	9:45
14809	2022-01-20	8:40
14823	2022-01-22	13:50
14837	2022-01-24	10:45
14846	2022-01-26	10:36
14886	2022-02-03	12:30
14889	2022-02-04	12:05
14898	2022-02-05	15:03
14909	2022-02-06	11:31
14949	2022-02-14	9:05
14959	2022-02-15	17:28
14976	2022-02-18	17:37
14980	2022-02-19	14:48
14994	2022-02-22	7:41
15022	2022-02-26	8:38
15071	2022-03-05	11:07
15288	2022-04-05	8:14
15294	2022-04-06	8:22
15307	2022-04-08	10:36
15327	2022-04-11	8:30
15334	2022-04-12	8:21
15340	2022-04-13	8:33
15346	2022-04-14	8:55
15352	2022-04-15	8:39
15370	2022-04-18	8:15
15382	2022-04-20	8:39
15390	2022-04-21	8:51
15412	2022-04-25	8:32
15420	2022-04-26	8:37
15439	2022-04-29	9:11
15472	2022-05-05	8:26
