value	date	time
97.771	2021-11-20	10:07
97.884	2021-11-21	17:43
98.01	2021-11-22	23:34
98.059	2021-11-23	18:29
98.212	2021-11-24	18:28
98.387	2021-11-25	20:25
98.599	2021-11-27	21:39
98.726	2021-11-28	21:07
98.9	2021-11-29	18:48
99.103	2021-12-01	18:39
99.192	2021-12-02	20:10
99.289	2021-12-03	22:51
99.707	2021-12-05	17:22
99.882	2021-12-06	19:02
100.002	2021-12-07	19:35
100.074	2021-12-08	20:11
100.166	2021-12-09	21:27
100.215	2021-12-10	22:46
100.491	2021-12-11	19:51
100.674	2021-12-12	20:02
100.749	2021-12-13	18:52
100.807	2021-12-14	17:43
100.915	2021-12-15	17:52
101.002	2021-12-16	17:25
101.071	2021-12-17	18:49
101.177	2021-12-18	17:58
101.292	2021-12-19	18:02
101.56	2021-12-20	17:08
101.665	2021-12-21	17:43
101.778	2021-12-22	20:20
101.834	2021-12-23	19:40
101.931	2021-12-24	18:36
101.992	2021-12-25	20:23
102.184	2021-12-26	21:06
102.32	2021-12-27	19:13
102.419	2021-12-28	20:47
102.479	2021-12-29	19:18
102.535	2021-12-30	20:10
102.709	2021-12-31	22:27
103.254	2022-01-02	19:38
103.426	2022-01-03	22:16
103.583	2022-01-04	17:58
103.748	2022-01-05	16:44
104.021	2022-01-06	17:26
104.217	2022-01-07	23:30
104.391	2022-01-08	19:16
104.578	2022-01-09	18:50
104.826	2022-01-10	20:44
104.896	2022-01-11	20:33
104.988	2022-01-12	23:57
105.045	2022-01-13	22:31
105.109	2022-01-14	21:15
105.168	2022-01-15	21:50
105.521	2022-01-16	23:16
105.586	2022-01-17	18:04
105.646	2022-01-18	22:06
105.701	2022-01-19	21:52
105.766	2022-01-20	22:07
105.803	2022-01-21	22:10
105.934	2022-01-23	0:12
106.285	2022-01-24	10:04
106.432	2022-01-25	8:26
106.52	2022-01-26	9:37
106.685	2022-01-27	11:14
107.261	2022-01-30	15:26
107.377	2022-01-31	15:32
107.667	2022-02-01	19:14
107.752	2022-02-02	20:08
107.894	2022-02-03	23:03
107.963	2022-02-04	22:56
108.008	2022-02-05	14:34
108.26	2022-02-06	23:19
108.423	2022-02-07	22:59
108.478	2022-02-08	18:24
108.643	2022-02-10	8:42
108.703	2022-02-11	8:43
108.79	2022-02-12	18:01
108.878	2022-02-13	13:00
109.287	2022-02-14	8:35
109.339	2022-02-15	7:54
109.403	2022-02-16	10:13
109.454	2022-02-17	7:50
109.511	2022-02-18	7:50
109.618	2022-02-19	14:23
109.777	2022-02-20	11:22
109.97	2022-02-21	7:52
110.031	2022-02-22	7:16
110.142	2022-02-23	14:05
110.277	2022-02-24	8:33
110.327	2022-02-25	7:42
110.405	2022-02-26	8:12
110.469	2022-02-27	8:59
110.691	2022-02-28	10:45
110.743	2022-03-01	8:25
110.846	2022-03-02	8:29
110.934	2022-03-03	8:24
110.976	2022-03-04	8:24
111.009	2022-03-05	10:44
111.106	2022-03-06	
111.342	2022-03-07	22:15
111.637	2022-03-09	8:14
111.703	2022-03-10	8:21
111.883	2022-03-12	8:26
112.035	2022-03-13	12:19
112.362	2022-03-14	8:34
112.714	2022-03-19	10:26
112.8	2022-03-20	10:40
113.06	2022-03-21	8:37
113.107	2022-03-22	8:16
113.235	2022-03-23	8:04
113.314	2022-03-24	8:04
113.399	2022-03-25	8:35
113.73	2022-03-27	12:43
113.945	2022-03-28	8:07
114.312	2022-04-04	18:40
114.393	2022-04-05	7:18
114.493	2022-04-06	7:37
114.537	2022-04-07	7:27
114.581	2022-04-08	9:54
114.684	2022-04-09	10:19
114.843	2022-04-10	10:45
115.187	2022-04-11	6:35
115.32	2022-04-12	7:40
115.366	2022-04-13	7:19
115.532	2022-04-14	7:30
115.569	2022-04-15	7:49
115.824	2022-04-16	11:44
115.765	2022-04-17	12:56
116.058	2022-04-18	7:00
116.131	2022-04-19	7:22
116.353	2022-04-20	7:42
116.425	2022-04-21	7:41
116.51	2022-04-22	7:20
117.104	2022-04-25	7:42
117.146	2022-04-26	8:00
117.217	2022-04-27	8:02
117.272	2022-04-28	8:21
117.364	2022-04-29	8:44
117.436	2022-04-30	12:06
117.531	2022-05-01	17:01
117.685	2022-05-02	13:43
117.732	2022-05-03	11:43
118.035	2022-05-04	8:18
118.101	2022-05-05	7:18
118.15	2022-05-06	8:23
118.546	2022-05-08	13:52
